Language,Class,Code Smell #,Category,Code Smell,Method,Type,Identifier
Java,Drink,8,Change Preventers,Shotgun Surgery,updateCustomerPhoneNumber,Separate field update that contributes to shotgun surgery,Java_Drink_updateCustomerPhoneNumber_Shotgun Surgery
Java,Drink,9,Change Preventers,Shotgun Surgery,updateCustomerEmail,Separate field update that contributes to shotgun surgery,Java_Drink_updateCustomerEmail_Shotgun Surgery
Java,Drink,10,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,Java_Drink_notifyForPromotion_Divergent Change
Java,Drink,11,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",Java_Drink_notifyForDiscount_Divergent Change
Java,Drink,12,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,Java_Drink_notifyForNewArrivals_Divergent Change
Java,Drink,13,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,Java_Drink_applyDiscount_Parallel Inheritance Hierarchies
Java,Drink,14,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,Java_Drink_applyLoyaltyPoints_Parallel Inheritance Hierarchies
Java,Drink,15,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,Java_Drink_askForReceipt_Speculative Generality
Java,Drink,16,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,Java_Drink_anotherUnusedMethod_Dead Code
Java,Drink,17,Dispensables,Dead Code,yetAnotherUnusedMethod,Another unused method,Java_Drink_yetAnotherUnusedMethod_Dead Code
Java,Drink,18,Dispensables,Duplicate Code,duplicateMethod,Repeated functionality with identical operations on the same attribute,Java_Drink_duplicateMethod_Duplicate Code
Java,Drink,19,Couplers,Message Chains,chainOfMethods,"Excessive method chaining (`this.updateCustomerAddress(""456 Avenue"")`)",Java_Drink_chainOfMethods_Message Chains
Java,Drink,20,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,Java_Drink_middlemanMethod_Middle Man
Java,Drink,21,Couplers,Inappropriate Intimacy,accessInternalDetails,Accesses internal attributes (`this.drinkType`),Java_Drink_accessInternalDetails_Inappropriate Intimacy
Java,Drink,22,Bloaters,Long Method,longMethod,"Performs multiple actions in a single method, reducing readability",Java_Drink_longMethod_Long Method
Java,Customer,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: ordering, complaints, contact updates, notifications, and discounts",Java_Customer_Entire Class_Large Class
Java,Customer,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct,Java_Customer___init___Primitive Obsession
Java,Customer,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated",Java_Customer___init___Data Clumps
Java,Customer,4,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,Java_Customer_handleComplaint_Switch Statements
Java,Customer,5,Change Preventers,Shotgun Surgery,updateContactInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,Java_Customer_updateContactInfo_Shotgun Surgery
Java,Customer,6,Change Preventers,Shotgun Surgery,updateName,Splitting name updates across different methods instead of a single encapsulated update,Java_Customer_updateName_Shotgun Surgery
Java,Customer,7,Change Preventers,Shotgun Surgery,updateAddress,"Similar to `updateName`, updates should be encapsulated",Java_Customer_updateAddress_Shotgun Surgery
Java,Customer,8,Change Preventers,Shotgun Surgery,updatePhoneNumber,Separate field update that contributes to shotgun surgery,Java_Customer_updatePhoneNumber_Shotgun Surgery
Java,Customer,9,Change Preventers,Shotgun Surgery,updateEmail,Separate field update that contributes to shotgun surgery,Java_Customer_updateEmail_Shotgun Surgery
Java,Customer,10,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,Java_Customer_notifyForPromotion_Divergent Change
Java,Customer,11,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",Java_Customer_notifyForDiscount_Divergent Change
Java,Customer,12,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,Java_Customer_notifyForNewArrivals_Divergent Change
Java,Customer,13,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,Java_Customer_applyDiscount_Parallel Inheritance Hierarchies
Java,Customer,14,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,Java_Customer_applyLoyaltyPoints_Parallel Inheritance Hierarchies
Java,Customer,15,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,Java_Customer_askForReceipt_Speculative Generality
Java,Customer,16,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,Java_Customer_anotherUnusedMethod_Dead Code
Java,Customer,17,Couplers,Feature Envy,orderPizza,Excessive reliance on another class (`pizzaShop`) for core functionality,Java_Customer_orderPizza_Feature Envy
Java,Customer,18,Couplers,Inappropriate Intimacy,complain,Accessing another object's internal details (`pizzaShop.getCashier().calmCustomerDown()`),Java_Customer_complain_Inappropriate Intimacy
Java,Customer,19,Couplers,Message Chains,chainOfMethods,Excessive method chaining (`pizzaShop.getCashier().getChef().cleanKitchen()`),Java_Customer_chainOfMethods_Message Chains
Java,Customer,20,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,Java_Customer_middlemanMethod_Middle Man
Java,Customer,21,Bloaters,Long Method,longComplaintMethod,"Performs multiple actions in a single method, reducing readability",Java_Customer_longComplaintMethod_Long Method
Java,Customer,22,Dispensables,Duplicate Code,duplicateComplaint,Repeated functionality with identical operations on the same attribute,Java_Customer_duplicateComplaint_Duplicate Code
Java,Chef,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: baking, delivering, cleaning, notifications, complaints, and discounts",Java_Chef_Entire Class_Large Class
Java,Chef,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`boolean`) for `extraCheese` instead of a more expressive construct,Java_Chef___init___Primitive Obsession
Java,Chef,3,Bloaters,Data Clumps,__init__,"Grouped chef details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated",Java_Chef___init___Data Clumps
Java,Chef,4,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,Java_Chef_handleComplaint_Switch Statements
Java,Chef,5,Change Preventers,Shotgun Surgery,updateContactInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,Java_Chef_updateContactInfo_Shotgun Surgery
Java,Chef,6,Change Preventers,Shotgun Surgery,updateName,Splitting name updates across different methods instead of a single encapsulated update,Java_Chef_updateName_Shotgun Surgery
Java,Chef,7,Change Preventers,Shotgun Surgery,updateAddress,"Similar to `updateName`, updates should be encapsulated",Java_Chef_updateAddress_Shotgun Surgery
Java,Chef,8,Change Preventers,Shotgun Surgery,updatePhoneNumber,Separate field update that contributes to shotgun surgery,Java_Chef_updatePhoneNumber_Shotgun Surgery
Java,Chef,9,Change Preventers,Shotgun Surgery,updateEmail,Separate field update that contributes to shotgun surgery,Java_Chef_updateEmail_Shotgun Surgery
Java,Chef,10,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,Java_Chef_notifyForPromotion_Divergent Change
Java,Chef,11,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",Java_Chef_notifyForDiscount_Divergent Change
Java,Chef,12,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,Java_Chef_notifyForNewArrivals_Divergent Change
Java,Chef,13,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,Java_Chef_applyDiscount_Parallel Inheritance Hierarchies
Java,Chef,14,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,Java_Chef_applyLoyaltyPoints_Parallel Inheritance Hierarchies
Java,Chef,15,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,Java_Chef_askForReceipt_Speculative Generality
Java,Chef,16,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,Java_Chef_anotherUnusedMethod_Dead Code
Java,Chef,17,Couplers,Inappropriate Intimacy,accessInternalDetails,Accessing internal attributes (`this.pizza.getTopping()`),Java_Chef_accessInternalDetails_Inappropriate Intimacy
Java,Chef,18,Couplers,Message Chains,chainOfMethods,Excessive method chaining (`this.cleanKitchen()`),Java_Chef_chainOfMethods_Message Chains
Java,Chef,19,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,Java_Chef_middlemanMethod_Middle Man
Java,Chef,20,Bloaters,Long Method,longMethod,"Performs multiple actions in a single method, reducing readability",Java_Chef_longMethod_Long Method
Java,Chef,21,Dispensables,Duplicate Code,duplicateMethod,Repeated functionality with identical operations on the same attribute,Java_Chef_duplicateMethod_Duplicate Code
Java,Cashier,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: order taking, complaints, discounts, customer contact, and deliveries",Java_Cashier_Entire Class_Large Class
Java,Cashier,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct,Java_Cashier___init___Primitive Obsession
Java,Cashier,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated",Java_Cashier___init___Data Clumps
Java,Cashier,4,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,Java_Cashier_handleComplaint_Switch Statements
Java,Cashier,5,Change Preventers,Shotgun Surgery,updateContactInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,Java_Cashier_updateContactInfo_Shotgun Surgery
Java,Cashier,6,Change Preventers,Shotgun Surgery,updateName,Splitting name updates across different methods instead of a single encapsulated update,Java_Cashier_updateName_Shotgun Surgery
Java,Cashier,7,Change Preventers,Shotgun Surgery,updateAddress,"Similar to `updateName`, updates should be encapsulated",Java_Cashier_updateAddress_Shotgun Surgery
Java,Cashier,8,Change Preventers,Shotgun Surgery,updatePhoneNumber,Separate field update that contributes to shotgun surgery,Java_Cashier_updatePhoneNumber_Shotgun Surgery
Java,Cashier,9,Change Preventers,Shotgun Surgery,updateEmail,Separate field update that contributes to shotgun surgery,Java_Cashier_updateEmail_Shotgun Surgery
Java,Cashier,10,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,Java_Cashier_notifyForPromotion_Divergent Change
Java,Cashier,11,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",Java_Cashier_notifyForDiscount_Divergent Change
Java,Cashier,12,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,Java_Cashier_notifyForNewArrivals_Divergent Change
Java,Cashier,13,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,Java_Cashier_applyDiscount_Parallel Inheritance Hierarchies
Java,Cashier,14,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,Java_Cashier_applyLoyaltyPoints_Parallel Inheritance Hierarchies
Java,Cashier,15,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,Java_Cashier_askForReceipt_Speculative Generality
Java,Cashier,16,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,Java_Cashier_anotherUnusedMethod_Dead Code
Java,Cashier,17,Couplers,Inappropriate Intimacy,accessInternalDetails,Accessing internal attributes (`chef.isBusy()`),Java_Cashier_accessInternalDetails_Inappropriate Intimacy
Java,Cashier,18,Couplers,Message Chains,chainOfMethods,Excessive method chaining (`this.chef.cleanKitchen()`),Java_Cashier_chainOfMethods_Message Chains
Java,Cashier,19,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,Java_Cashier_middlemanMethod_Middle Man
Java,Cashier,20,Bloaters,Long Method,longMethod,"Performs multiple actions in a single method, reducing readability",Java_Cashier_longMethod_Long Method
Java,Cashier,21,Dispensables,Duplicate Code,duplicateMethod,Repeated functionality with identical operations on the same attribute,Java_Cashier_duplicateMethod_Duplicate Code
JavaScript,Shop,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: order processing, customer contact updates, notifications, and discounts",JavaScript_Shop_Entire Class_Large Class
JavaScript,Shop,2,Bloaters,Primitive Obsession,constructor,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct,JavaScript_Shop_constructor_Primitive Obsession
JavaScript,Shop,3,Bloaters,Data Clumps,constructor,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated",JavaScript_Shop_constructor_Data Clumps
JavaScript,Shop,4,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,JavaScript_Shop_handleComplaint_Switch Statements
JavaScript,Shop,5,Change Preventers,Shotgun Surgery,updateContactInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,JavaScript_Shop_updateContactInfo_Shotgun Surgery
JavaScript,Shop,6,Change Preventers,Shotgun Surgery,updateName,Splitting name updates across different methods instead of a single encapsulated update,JavaScript_Shop_updateName_Shotgun Surgery
JavaScript,Shop,7,Change Preventers,Shotgun Surgery,updateAddress,"Similar to `updateName`, updates should be encapsulated",JavaScript_Shop_updateAddress_Shotgun Surgery
JavaScript,Shop,8,Change Preventers,Shotgun Surgery,updatePhoneNumber,Separate field update that contributes to shotgun surgery,JavaScript_Shop_updatePhoneNumber_Shotgun Surgery
JavaScript,Shop,9,Change Preventers,Shotgun Surgery,updateEmail,Separate field update that contributes to shotgun surgery,JavaScript_Shop_updateEmail_Shotgun Surgery
JavaScript,Shop,10,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,JavaScript_Shop_notifyForPromotion_Divergent Change
JavaScript,Shop,11,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",JavaScript_Shop_notifyForDiscount_Divergent Change
JavaScript,Shop,12,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,JavaScript_Shop_notifyForNewArrivals_Divergent Change
JavaScript,Shop,13,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,JavaScript_Shop_applyDiscount_Parallel Inheritance Hierarchies
JavaScript,Shop,14,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,JavaScript_Shop_applyLoyaltyPoints_Parallel Inheritance Hierarchies
JavaScript,Shop,15,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,JavaScript_Shop_askForReceipt_Speculative Generality
JavaScript,Shop,16,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,JavaScript_Shop_anotherUnusedMethod_Dead Code
JavaScript,Shop,17,Dispensables,Dead Code,yetAnotherUnusedMethod,Another unused method,JavaScript_Shop_yetAnotherUnusedMethod_Dead Code
JavaScript,Shop,18,Couplers,Message Chains,chainOfMethods,Excessive method chaining (`this.casher.chef.cleanKitchen()`),JavaScript_Shop_chainOfMethods_Message Chains
JavaScript,Shop,19,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,JavaScript_Shop_middlemanMethod_Middle Man
JavaScript,Shop,20,Couplers,Inappropriate Intimacy,accessInternalDetails,Accessing internal attributes (`this.casher.chef.busy`),JavaScript_Shop_accessInternalDetails_Inappropriate Intimacy
JavaScript,Shop,21,Bloaters,Long Method,longMethod,"Performs multiple actions in a single method, reducing readability",JavaScript_Shop_longMethod_Long Method
JavaScript,Shop,22,Bloaters,Long Parameter List,orderWithUnnecessaryDetails,Method receives multiple unrelated parameters,JavaScript_Shop_orderWithUnnecessaryDetails_Long Parameter List
JavaScript,Pizza,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: pizza properties, customer info, notifications, and complaints",JavaScript_Pizza_Entire Class_Large Class
JavaScript,Pizza,2,Bloaters,Primitive Obsession,constructor,Using a primitive (`boolean`) for `extraCheese` instead of a more expressive construct,JavaScript_Pizza_constructor_Primitive Obsession
JavaScript,Pizza,3,Bloaters,Data Clumps,constructor,"Grouped customer details (`customerFirstName`, `customerLastName`, `customerAddress`, etc.) should be encapsulated",JavaScript_Pizza_constructor_Data Clumps
JavaScript,Pizza,4,Bloaters,Long Parameter List,orderWithUnnecessaryDetails,"Method receives multiple unrelated parameters (`pizzaType`, `size`, `crustType`, etc.)",JavaScript_Pizza_orderWithUnnecessaryDetails_Long Parameter List
JavaScript,Pizza,5,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,JavaScript_Pizza_handleComplaint_Switch Statements
JavaScript,Pizza,6,Object-Orientation Abusers,Temporary Field,constructor,"Fields (`tempDiscountCode`, `tempOrderNote`) used only under specific conditions",JavaScript_Pizza_constructor_Temporary Field
JavaScript,Pizza,7,Change Preventers,Shotgun Surgery,updateCustomerInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,JavaScript_Pizza_updateCustomerInfo_Shotgun Surgery
JavaScript,Pizza,8,Change Preventers,Shotgun Surgery,updateCustomerName,Splitting name updates across different methods instead of a single encapsulated update,JavaScript_Pizza_updateCustomerName_Shotgun Surgery
JavaScript,Pizza,9,Change Preventers,Shotgun Surgery,updateCustomerAddress,"Similar to `updateCustomerName`, updates should be encapsulated",JavaScript_Pizza_updateCustomerAddress_Shotgun Surgery
JavaScript,Pizza,10,Change Preventers,Shotgun Surgery,updateCustomerPhoneNumber,Separate field update that contributes to shotgun surgery,JavaScript_Pizza_updateCustomerPhoneNumber_Shotgun Surgery
JavaScript,Pizza,11,Change Preventers,Shotgun Surgery,updateCustomerEmail,Separate field update that contributes to shotgun surgery,JavaScript_Pizza_updateCustomerEmail_Shotgun Surgery
JavaScript,Pizza,12,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,JavaScript_Pizza_notifyForPromotion_Divergent Change
JavaScript,Pizza,13,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",JavaScript_Pizza_notifyForDiscount_Divergent Change
JavaScript,Pizza,14,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,JavaScript_Pizza_notifyForNewArrivals_Divergent Change
JavaScript,Pizza,15,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,JavaScript_Pizza_applyDiscount_Parallel Inheritance Hierarchies
JavaScript,Pizza,16,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,JavaScript_Pizza_applyLoyaltyPoints_Parallel Inheritance Hierarchies
JavaScript,Pizza,17,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,JavaScript_Pizza_askForReceipt_Speculative Generality
JavaScript,Pizza,18,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,JavaScript_Pizza_anotherUnusedMethod_Dead Code
JavaScript,Pizza,19,Dispensables,Dead Code,yetAnotherUnusedMethod,Another unused method,JavaScript_Pizza_yetAnotherUnusedMethod_Dead Code
JavaScript,Pizza,20,Dispensables,Duplicate Code,duplicateMethod,Repeated functionality with identical operations on the same attribute,JavaScript_Pizza_duplicateMethod_Duplicate Code
JavaScript,Pizza,21,Couplers,Message Chains,chainOfMethods,"Excessive method chaining (`this.updateCustomerAddress(""123 Street"")`)",JavaScript_Pizza_chainOfMethods_Message Chains
JavaScript,Pizza,22,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,JavaScript_Pizza_middlemanMethod_Middle Man
JavaScript,Pizza,23,Couplers,Inappropriate Intimacy,accessInternalDetails,"Accessing internal attributes (`this.size`, `this.doughType`, `this.topping`)",JavaScript_Pizza_accessInternalDetails_Inappropriate Intimacy
JavaScript,Pizza,24,Bloaters,Long Method,longMethod,"Performs multiple actions in a single method, reducing readability",JavaScript_Pizza_longMethod_Long Method
JavaScript,CheesePizza,25,Object-Orientation Abusers,Refused Bequest,constructor,Subclass inherits but does not use `cheeseType`,JavaScript_CheesePizza_constructor_Refused Bequest
JavaScript,CheesePizza,26,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,JavaScript_CheesePizza_handleComplaint_Switch Statements
JavaScript,Drink,1,Dispensables,Data Class,Entire Class,Class only stores data (`drinkType`) without meaningful behavior,JavaScript_Drink_Entire Class_Data Class
JavaScript,Drink,2,Bloaters,Primitive Obsession,createOrder,Uses a primitive (`string`) instead of a more expressive object for drink type,JavaScript_Drink_createOrder_Primitive Obsession
JavaScript,Drink,3,Bloaters,Primitive Obsession,addToOrder,Uses a primitive (`string`) instead of an object for order processing,JavaScript_Drink_addToOrder_Primitive Obsession
JavaScript,Drink,4,Bloaters,Primitive Obsession,confirmOrder,Uses a primitive (`string`) instead of an object for order confirmation,JavaScript_Drink_confirmOrder_Primitive Obsession
JavaScript,Customer,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: ordering, complaints, contact updates, notifications, and discounts",JavaScript_Customer_Entire Class_Large Class
JavaScript,Customer,2,Bloaters,Primitive Obsession,constructor,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct,JavaScript_Customer_constructor_Primitive Obsession
JavaScript,Customer,3,Bloaters,Data Clumps,constructor,"Grouped customer details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated",JavaScript_Customer_constructor_Data Clumps
JavaScript,Customer,4,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,JavaScript_Customer_handleComplaint_Switch Statements
JavaScript,Customer,5,Change Preventers,Shotgun Surgery,updateContactInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,JavaScript_Customer_updateContactInfo_Shotgun Surgery
JavaScript,Customer,6,Change Preventers,Shotgun Surgery,updateName,Splitting name updates across different methods instead of a single encapsulated update,JavaScript_Customer_updateName_Shotgun Surgery
JavaScript,Customer,7,Change Preventers,Shotgun Surgery,updateAddress,"Similar to `updateName`, updates should be encapsulated",JavaScript_Customer_updateAddress_Shotgun Surgery
JavaScript,Customer,8,Change Preventers,Shotgun Surgery,updatePhoneNumber,Separate field update that contributes to shotgun surgery,JavaScript_Customer_updatePhoneNumber_Shotgun Surgery
JavaScript,Customer,9,Change Preventers,Shotgun Surgery,updateEmail,Separate field update that contributes to shotgun surgery,JavaScript_Customer_updateEmail_Shotgun Surgery
JavaScript,Customer,10,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,JavaScript_Customer_notifyForPromotion_Divergent Change
JavaScript,Customer,11,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",JavaScript_Customer_notifyForDiscount_Divergent Change
JavaScript,Customer,12,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,JavaScript_Customer_notifyForNewArrivals_Divergent Change
JavaScript,Customer,13,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,JavaScript_Customer_applyDiscount_Parallel Inheritance Hierarchies
JavaScript,Customer,14,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,JavaScript_Customer_applyLoyaltyPoints_Parallel Inheritance Hierarchies
JavaScript,Customer,15,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,JavaScript_Customer_askForReceipt_Speculative Generality
JavaScript,Customer,16,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,JavaScript_Customer_anotherUnusedMethod_Dead Code
JavaScript,Customer,17,Couplers,Feature Envy,orderPizza,Excessive reliance on another class (`Shop`) for core functionality,JavaScript_Customer_orderPizza_Feature Envy
JavaScript,Customer,18,Couplers,Inappropriate Intimacy,complain,Accessing another object's internal details (`Shop.casher.cleanKitchen()`),JavaScript_Customer_complain_Inappropriate Intimacy
JavaScript,Customer,19,Couplers,Message Chains,chainOfMethods,Excessive method chaining (`Shop.casher.chef.cleanKitchen()`),JavaScript_Customer_chainOfMethods_Message Chains
JavaScript,Customer,20,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,JavaScript_Customer_middlemanMethod_Middle Man
JavaScript,Customer,21,Bloaters,Long Method,longComplaintMethod,"Performs multiple actions in a single method, reducing readability",JavaScript_Customer_longComplaintMethod_Long Method
JavaScript,Customer,22,Dispensables,Duplicate Code,duplicateComplaint,Repeated functionality with identical operations on the same attribute,JavaScript_Customer_duplicateComplaint_Duplicate Code
JavaScript,Chef,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: baking, delivering, cleaning, notifications, complaints, and discounts",JavaScript_Chef_Entire Class_Large Class
JavaScript,Chef,2,Bloaters,Primitive Obsession,constructor,Using a primitive (`boolean`) for `frequentCustomerDiscount` instead of a more expressive construct,JavaScript_Chef_constructor_Primitive Obsession
JavaScript,Chef,3,Bloaters,Data Clumps,constructor,"Grouped chef details (`firstName`, `lastName`, `address`, `phoneNumber`, `email`) should be encapsulated",JavaScript_Chef_constructor_Data Clumps
JavaScript,Chef,4,Object-Orientation Abusers,Switch Statements,handleComplaint,Overuse of if-else statements to handle different complaints,JavaScript_Chef_handleComplaint_Switch Statements
JavaScript,Chef,5,Change Preventers,Shotgun Surgery,updateContactInfo,Multiple update methods modifying individual fields instead of a single encapsulated update,JavaScript_Chef_updateContactInfo_Shotgun Surgery
JavaScript,Chef,6,Change Preventers,Shotgun Surgery,updateName,Splitting name updates across different methods instead of a single encapsulated update,JavaScript_Chef_updateName_Shotgun Surgery
JavaScript,Chef,7,Change Preventers,Shotgun Surgery,updateAddress,"Similar to `updateName`, updates should be encapsulated",JavaScript_Chef_updateAddress_Shotgun Surgery
JavaScript,Chef,8,Change Preventers,Shotgun Surgery,updatePhoneNumber,Separate field update that contributes to shotgun surgery,JavaScript_Chef_updatePhoneNumber_Shotgun Surgery
JavaScript,Chef,9,Change Preventers,Shotgun Surgery,updateEmail,Separate field update that contributes to shotgun surgery,JavaScript_Chef_updateEmail_Shotgun Surgery
JavaScript,Chef,10,Change Preventers,Divergent Change,notifyForPromotion,Multiple notification methods each handling separate concerns,JavaScript_Chef_notifyForPromotion_Divergent Change
JavaScript,Chef,11,Change Preventers,Divergent Change,notifyForDiscount,"Related to `notifyForPromotion`, but managed separately",JavaScript_Chef_notifyForDiscount_Divergent Change
JavaScript,Chef,12,Change Preventers,Divergent Change,notifyForNewArrivals,Another notification method that should be unified,JavaScript_Chef_notifyForNewArrivals_Divergent Change
JavaScript,Chef,13,Change Preventers,Parallel Inheritance Hierarchies,applyDiscount,Parallel implementation of discount and loyalty points logic,JavaScript_Chef_applyDiscount_Parallel Inheritance Hierarchies
JavaScript,Chef,14,Change Preventers,Parallel Inheritance Hierarchies,applyLoyaltyPoints,Another parallel logic similar to `applyDiscount`,JavaScript_Chef_applyLoyaltyPoints_Parallel Inheritance Hierarchies
JavaScript,Chef,15,Dispensables,Speculative Generality,askForReceipt,Method is present but never used in any flow,JavaScript_Chef_askForReceipt_Speculative Generality
JavaScript,Chef,16,Dispensables,Dead Code,anotherUnusedMethod,Unused method that can be removed,JavaScript_Chef_anotherUnusedMethod_Dead Code
JavaScript,Chef,17,Couplers,Inappropriate Intimacy,accessInternalDetails,Accessing internal attributes (`this.pizza`),JavaScript_Chef_accessInternalDetails_Inappropriate Intimacy
JavaScript,Chef,18,Couplers,Message Chains,chainOfMethods,Excessive method chaining (`this.cleanKitchen()`),JavaScript_Chef_chainOfMethods_Message Chains
JavaScript,Chef,19,Couplers,Middle Man,middlemanMethod,Delegates work without adding value,JavaScript_Chef_middlemanMethod_Middle Man
JavaScript,Chef,20,Bloaters,Long Method,longMethod,"Performs multiple actions in a single method, reducing readability",JavaScript_Chef_longMethod_Long Method
